Krasilnikov Askold
Lihachyov Evtihiy
Tarasov Harlampiy
Hohlov Mina
Muravyov Akentiy
Mironov Bogdan
Efremov Artemidor
Ershov Konstantin
Bogdanov Evseviy
Mironov Nikodim
Muhin Nikifor
Shilov Satir
Ermakov Klavdiy
Vishnyakov Kallinik
Morozov Ivan
Loginov Ruslan
Anisimov Ioil
Eliseev Avksentiy
Ivanov Tihon
Titov Artemon
Fokin Abakum
Avdeev Ismail
Komissarov Filon
Dorofeev Luka
Lobanov Makariy
Prohorov Mitrofan
Voronov Rufin
Gusev Arhipp
Lapin Efrem
Rybakov Ardalion
Kulikov Bryachislav
Abramov Eleazar
Grishin Luka
Abramov Dosifey
Zhuravlyov Isaak
Melnikov Ippolit
Konstantinov Efrem
Safonov Velimir
Pavlov Vavila
Aleksandrov Nafanail
Vishnyakov Falaley
Terentev Erast
Lukin Serapion
Larionov Nikolay
Kolobov Urvan
Fomichyov Ferapont
Efremov Naum
Turov Mark
Borisov Narkiss
Gorshkov Borislav
